nb,rank,residual_ranked,residual_change,extracted_pde
51,5,0.00069308555,119.71405744552612,D_t^2 U = 0.006262  + -0.444576(U) + 0.301890(D_x U) + 0.104793(D_x^2 U) + 0.224383(D_x^3 U) + -0.016487(D_x^4 U) + 0.056360(U)(U) + 0.039450(D_x^4 U)(D_x^4 U)
52,4,0.0002416924,125.20160675048828,D_t^2 U = 0.006261  + -0.444590(U) + 0.301928(D_x U) + 0.104165(D_x^2 U) + 0.224179(D_x^3 U) + -0.017860(D_x^4 U) + 0.056859(U)(U) + 0.087942(U)(D_x^4 U) + 0.043705(D_x^3 U)(D_x^3 U) + 0.034781(D_x^4 U)(D_x^4 U)
53,3,0.0015228064,212.62171268463135,D_t^2 U = 0.006263  + -0.444540(U) + 0.301044(D_x U) + 0.105695(D_x^2 U) + 0.224647(D_x^3 U) + -0.015595(D_x^4 U) + 0.055101(U)(U)
54,2,0.008835118,298.15516471862793,D_t^2 U = 0.006280  + -0.443484(U) + 0.312920(D_x U) + 0.150508(D_x^2 U) + 0.242194(D_x^3 U)
55,1,0.090936676,993.1774139404297,D_t^2 U = 0.006254  + -0.441607(U)
