nb,rank,residual_ranked,residual_change,extracted_pde
15,5,0.8597674,46.86264097690582,D_t U = -0.158841  + 0.323281(U) + -23.607052(D_x U) + -22.359009(D_x^2 U) + 0.443443(U)(U) + -9.538850(D_x U)(D_x^2 U) + -8.777726(D_x^2 U)(D_x^2 U) + -0.216204(U)(U)(U) + 2.454023(U)(U)(D_x U) + -95.757027(U)(D_x U)(D_x^2 U) + -90.001068(U)(D_x^2 U)(D_x^2 U) + 450.730530(D_x U)(D_x U)(D_x U) + 68.221916(D_x U)(D_x U)(D_x^2 U) + -1170.077515(D_x U)(D_x^2 U)(D_x^2 U) + -789.259338(D_x^2 U)(D_x^2 U)(D_x^2 U)
16,4,0.5208866,65.05845785140991,D_t U = -0.158663  + 0.320086(U) + -23.560207(D_x U) + -22.447330(D_x^2 U) + 0.454245(U)(U) + -0.898827(U)(D_x U) + -10.809015(D_x U)(D_x^2 U) + -9.703247(D_x^2 U)(D_x^2 U) + -0.198371(U)(U)(U) + 2.018878(U)(U)(D_x U) + 39.189426(U)(D_x U)(D_x^2 U) + 38.695805(U)(D_x^2 U)(D_x^2 U) + 360.048492(D_x U)(D_x U)(D_x U) + 202.183167(D_x U)(D_x U)(D_x^2 U) + -591.035278(D_x U)(D_x^2 U)(D_x^2 U) + -435.460205(D_x^2 U)(D_x^2 U)(D_x^2 U)
17,3,31.05112,69.88183259963989,D_t U =  + -24143.640625(D_x U)(D_x U)(D_x U) + -72830.914062(D_x U)(D_x U)(D_x^2 U) + -73648.398438(D_x U)(D_x^2 U)(D_x^2 U) + -24940.675781(D_x^2 U)(D_x^2 U)(D_x^2 U)
18,2,1.2656581,143.41185092926025,D_t U = -0.159757  + 0.323473(U) + -23.159548(D_x U) + -22.010584(D_x^2 U) + 0.454211(U)(U) + -0.196436(U)(U)(U) + -155.612381(U)(D_x U)(D_x^2 U) + -144.828369(U)(D_x^2 U)(D_x^2 U) + 235.069061(D_x U)(D_x U)(D_x U) + -151.346222(D_x U)(D_x U)(D_x^2 U) + -1099.086548(D_x U)(D_x^2 U)(D_x^2 U) + -706.668579(D_x^2 U)(D_x^2 U)(D_x^2 U)
19,1,3.1137767,367.0387268066406,D_t U = -0.150915  + 0.232854(U) + -23.560276(D_x U) + -22.608770(D_x^2 U) + 0.438775(U)(U) + 1172.210205(D_x U)(D_x U)(D_x U) + 1142.396484(D_x U)(D_x U)(D_x^2 U) + -1164.390381(D_x U)(D_x^2 U)(D_x^2 U) + -1129.621826(D_x^2 U)(D_x^2 U)(D_x^2 U)
