nb,rank,residual_ranked,residual_change,extracted_pde
51,5,0.016084015,81.46401047706604,D_t U = 0.001845  + -0.015210(U) + -0.159515(D_x U) + -0.215554(D_x^4 U)
52,4,0.043268964,138.11949491500854,D_t U = 0.001698  + -0.250479(D_x^4 U)
53,3,0.10303184,202.48703956604004,D_t U = 0.001698 
54,2,0.0021754827,639.3308639526367,D_t U = 0.001836  + -0.014328(U) + -0.135356(D_x U) + 0.150647(D_x^2 U) + -0.187011(D_x^4 U)
55,1,0.0002361082,821.3922500610352,D_t U = 0.001837  + -0.014335(U) + -0.126913(D_x U) + 0.171316(D_x^2 U) + 0.017132(D_x^3 U) + -0.180254(D_x^4 U)
