nb,rank,residual_ranked,residual_change,extracted_pde
10,5,30.622936,24.25345480442047,D_t U =  + -7.639999(D_x U)
11,4,1.1535652,105.05443811416626,D_t U = -0.018235  + 0.111270(U) + -20.640745(D_x U) + -21.827314(D_x^2 U) + -19.283716(D_x U)(D_x U) + -196.914108(D_x U)(D_x^2 U) + -163.398956(D_x U)(D_x^3 U) + -209.987320(D_x^2 U)(D_x^2 U) + -225.905273(D_x^2 U)(D_x^3 U) + -30.501757(D_x^3 U)(D_x^3 U)
12,3,2.3654366,134.85866785049438,D_t U =  + 0.104382(U) + -20.477467(D_x U) + -21.704250(D_x^2 U) + -52.345825(D_x U)(D_x U) + -325.801880(D_x U)(D_x^2 U) + -223.759918(D_x U)(D_x^3 U) + -332.946838(D_x^2 U)(D_x^2 U) + -340.843018(D_x^2 U)(D_x^3 U) + -58.264118(D_x^3 U)(D_x^3 U)
13,2,0.38061786,203.07700634002686,D_t U = -0.026376  + 0.124026(U) + -20.743095(D_x U) + -21.899593(D_x^2 U) + 0.056656(U)(U) + -15.433398(D_x U)(D_x U) + -124.424240(D_x U)(D_x^2 U) + -97.912300(D_x U)(D_x^3 U) + -126.563461(D_x^2 U)(D_x^2 U) + -131.709106(D_x^2 U)(D_x^3 U) + -16.386482(D_x^3 U)(D_x^3 U)
14,1,6.314481,384.96365547180176,D_t U =  + -19.958433(D_x U) + -21.211327(D_x^2 U)
