nb,rank,residual_ranked,residual_change,extracted_pde
15,5,0.00031879754,168.98119449615479,D_t^2 U = 0.004754  + -0.540076(U) + -0.112606(D_x U) + -0.147604(D_x^2 U) + -0.092725(U)(U) + -0.062713(D_x U)(D_x U) + -0.053315(D_x^2 U)(D_x^2 U)
16,4,6.607953e-05,295.13936042785645,D_t^2 U = 0.004754  + -0.540069(U) + -0.112859(D_x U) + -0.149051(D_x^2 U) + -0.092623(U)(U) + 0.074684(U)(D_x^2 U) + -0.117316(D_x U)(D_x U) + -0.022991(D_x U)(D_x^2 U) + -0.063079(D_x^2 U)(D_x^2 U)
17,3,0.0008575054,298.7175226211548,D_t^2 U = 0.004754  + -0.540066(U) + -0.113239(D_x U) + -0.148265(D_x^2 U) + -0.093177(U)(U) + -0.075202(D_x^2 U)(D_x^2 U)
18,2,0.0055604633,620.8906173706055,D_t^2 U = 0.004733  + -0.541356(U) + -0.119648(D_x U) + -0.143778(D_x^2 U)
19,1,0.0953636,622.6685047149658,D_t^2 U = 0.004775  + -0.541122(U)
