epoch,optimizer,experiment,collocation,data,total
0,Adam,test,0.20218347,0.54365367,0.74583715
0,Adam,train,0.20190538,0.59600776,0.79791313
10,Adam,test,0.008247414,0.22786152,0.23610894
10,Adam,train,0.008229387,0.2451986,0.25342798
20,Adam,test,0.004528468,0.20543966,0.20996812
20,Adam,train,0.0045669,0.2253611,0.22992799
30,Adam,test,0.0034591497,0.19365187,0.19711103
30,Adam,train,0.0034642234,0.21047226,0.21393648
40,Adam,test,0.0075461757,0.1745264,0.18207256
40,Adam,train,0.0075341184,0.19021904,0.19775316
50,Adam,test,0.0142872585,0.15219724,0.1664845
50,Adam,train,0.014665509,0.16644146,0.18110697
60,Adam,test,0.023246408,0.12766384,0.15091024
60,Adam,train,0.023102788,0.13765761,0.1607604
70,Adam,test,0.030149002,0.09834703,0.12849604
70,Adam,train,0.030272601,0.106734194,0.13700679
80,Adam,test,0.03720088,0.07351569,0.11071657
80,Adam,train,0.037508976,0.079658695,0.11716767
90,Adam,test,0.045525577,0.054480292,0.100005865
90,Adam,train,0.045228183,0.059579283,0.104807466
100,Adam,test,0.04743405,0.047583252,0.0950173
100,Adam,train,0.04735541,0.052073278,0.09942868
110,Adam,test,0.04789369,0.04493417,0.09282786
110,Adam,train,0.04695431,0.048825458,0.09577977
120,Adam,test,0.046592277,0.043142788,0.08973506
120,Adam,train,0.047582712,0.04663402,0.094216734
130,Adam,test,0.046140105,0.042016782,0.08815689
130,Adam,train,0.04620169,0.045210797,0.091412485
140,Adam,test,0.04641621,0.04101678,0.08743299
140,Adam,train,0.046100773,0.044053026,0.0901538
150,Adam,test,0.046312653,0.039708298,0.08602095
150,Adam,train,0.0460011,0.04254106,0.08854216
160,Adam,test,0.04678533,0.03811023,0.08489556
160,Adam,train,0.046545878,0.0408149,0.08736078
170,Adam,test,0.04684739,0.0366923,0.08353969
170,Adam,train,0.0470434,0.039232403,0.0862758
180,Adam,test,0.046654236,0.036035676,0.08268991
