nb,rank,residual_ranked,residual_change,extracted_pde
30,5,1.7125522,70.45887112617493,D_t U = -0.167779  + 0.397640(U) + -23.010925(D_x U) + -11.963920(D_x^2 U) + -3.386244(D_x^3 U) + 0.405376(U)(U) + -0.362021(U)(U)(U)
31,4,2.919197,76.55622363090515,D_t U = -0.166666  + 0.403670(U) + -23.013351(D_x U) + -8.460884(D_x^2 U) + 0.401835(U)(U) + -0.366130(U)(U)(U)
32,3,0.64983046,82.1415662765503,D_t U = -0.166981  + 0.395775(U) + -23.494884(D_x U) + -11.575836(D_x^2 U) + -3.234039(D_x^3 U) + 0.409929(U)(U) + -1.246272(U)(D_x U) + -0.364505(U)(U)(U) + 2.525590(U)(U)(D_x U)
33,2,7.509128,124.12235736846924,D_t U = -0.158226  + 0.247526(U) + -22.699482(D_x U) + 0.390888(U)(U)
34,1,20.672253,154.81470823287964,D_t U =  + -19.596405(D_x U)
