nb,rank,residual_ranked,residual_change,extracted_pde
10,5,6.418585,13.500617444515228,D_t U = -0.125379  + 0.240797(U) + -23.122684(D_x U) + 0.355314(U)(U) + -84.453239(D_x U)(D_x U)
11,4,18.3764,13.837587833404541,D_t U = -0.070865  + -20.125996(D_x U)
12,3,5.1157155,25.467976927757263,D_t U = -0.122278  + 0.230802(U) + -23.073479(D_x U) + -8.422759(D_x^2 U) + 0.352283(U)(U) + -82.643105(D_x U)(D_x U)
13,2,7.2851334,131.43798112869263,D_t U = -0.158848  + 0.248396(U) + -22.763254(D_x U) + 0.391979(U)(U)
14,1,20.91925,154.5601487159729,D_t U =  + -19.835424(D_x U)
