nb,rank,residual_ranked,residual_change,extracted_pde
10,5,0.0014252543,106.1299204826355,D_t U = -1.199602  + -0.300252(U) + 0.043367(D_x U) + -0.129133(D_x^2 U) + -0.027477(D_x^3 U) + 0.026848(U)(U) + -0.106489(U)(D_x U) + 0.043229(U)(D_x^3 U) + 0.081166(D_x^2 U)(D_x^2 U) + 0.055049(D_x^3 U)(D_x^3 U)
11,4,0.034308754,219.82896327972412,D_t U = -1.199967  + -0.306659(U) + 0.087267(D_x U) + -0.106439(D_x^2 U)
12,3,0.010102686,234.15062427520752,D_t U = -1.199604  + -0.300042(U) + 0.063647(D_x U) + -0.122408(D_x^2 U) + -0.040005(D_x^3 U) + 0.028182(U)(U)
13,2,0.17439273,1209.0683937072754,D_t U = -1.199506  + -0.304430(U)
14,1,2.2829201,7120.819854736328,D_t U = -1.165522 
