nb,rank,residual_ranked,residual_change,extracted_pde
30,5,0.028532866,161.3559603691101,D_t U =  + -0.216473(U) + 0.427258(D_x U) + -0.291715(D_x^3 U)
31,4,7.48915e-05,174.56068992614746,D_t U = -0.000185  + -0.211609(U) + 0.381259(D_x U) + -0.105646(D_x^2 U) + -0.339267(D_x^3 U) + 0.039404(U)(U) + 0.118379(D_x^3 U)(D_x^3 U)
32,3,0.13213532,389.1575574874878,D_t U =  + -0.210803(U)
33,2,0.0017308486,596.8635082244873,D_t U = -0.000182  + -0.210700(U) + 0.383390(D_x U) + -0.103741(D_x^2 U) + -0.339318(D_x^3 U)
34,1,0.00020562262,741.7597770690918,D_t U = -0.000185  + -0.211601(U) + 0.381269(D_x U) + -0.105433(D_x^2 U) + -0.340712(D_x^3 U) + 0.039138(U)(U)
