nb,rank,residual_ranked,residual_change,extracted_pde
205,5,7.760867e-05,77.01264023780823,D_t U = 0.001276  + 0.019112(U) + -0.074918(D_x U) + -0.140446(D_x^2 U) + 0.078512(D_x^3 U) + 0.011679(U)(U) + 0.066029(U)(D_x U) + 0.034922(U)(D_x^2 U) + 0.058364(U)(D_x^3 U) + 0.025374(D_x^3 U)(D_x^3 U) + 1254.136108(D_x U)(D_x U)(D_x U)(D_x U) + -1240.692261(D_x U)(D_x U)(D_x U)(D_x^2 U) + 1046.931396(D_x U)(D_x U)(D_x U)(D_x^3 U) + 64662.140625(D_x U)(D_x U)(D_x^2 U)(D_x^2 U)(D_x^3 U) + 22573.748047(D_x U)(D_x U)(D_x^2 U)(D_x^3 U)(D_x^3 U) + -10321790.000000(D_x U)(D_x U)(D_x U)(D_x U)(D_x U)(D_x U) + -4210122.000000(D_x U)(D_x U)(D_x U)(D_x U)(D_x U)(D_x^2 U) + -13210953.000000(D_x U)(D_x U)(D_x U)(D_x U)(D_x U)(D_x^3 U) + -204558.031250(D_x U)(D_x U)(D_x U)(D_x U)(D_x^2 U)(D_x^2 U) + -7809591.000000(D_x U)(D_x U)(D_x U)(D_x U)(D_x^2 U)(D_x^3 U) + -2568897.500000(D_x U)(D_x U)(D_x U)(D_x U)(D_x^3 U)(D_x^3 U) + -5218889.000000(D_x U)(D_x U)(D_x U)(D_x^2 U)(D_x^2 U)(D_x^3 U) + 44330.625000(D_x U)(D_x U)(D_x U)(D_x^3 U)(D_x^3 U)(D_x^3 U)
206,4,2.1514767e-05,131.61927461624146,D_t U = 0.001276  + 0.019110(U) + -0.074929(D_x U) + -0.140621(D_x^2 U) + 0.078495(D_x^3 U) + 0.011588(U)(U) + 0.067558(U)(D_x U) + 0.042310(U)(D_x^2 U) + 0.059501(U)(D_x^3 U) + 0.042201(D_x U)(D_x U) + 0.029194(D_x U)(D_x^3 U) + 0.037065(D_x^2 U)(D_x^2 U) + 0.019253(D_x^2 U)(D_x^3 U) + 0.025438(D_x^3 U)(D_x^3 U) + -105.623772(D_x U)(D_x U)(D_x U)(D_x U) + -88.132103(D_x U)(D_x U)(D_x U)(D_x^2 U) + -54.307713(D_x U)(D_x U)(D_x U)(D_x^3 U) + 2284.529541(D_x U)(D_x U)(D_x U)(D_x^2 U)(D_x^3 U) + 1868.061401(D_x U)(D_x U)(D_x^2 U)(D_x^2 U)(D_x^3 U) + 1029.354492(D_x U)(D_x U)(D_x^2 U)(D_x^3 U)(D_x^3 U) + 667906.125000(D_x U)(D_x U)(D_x U)(D_x U)(D_x U)(D_x U) + 935620.875000(D_x U)(D_x U)(D_x U)(D_x U)(D_x U)(D_x^2 U) + 620832.000000(D_x U)(D_x U)(D_x U)(D_x U)(D_x U)(D_x^3 U) + 335078.531250(D_x U)(D_x U)(D_x U)(D_x U)(D_x^2 U)(D_x^2 U) + 249703.093750(D_x U)(D_x U)(D_x U)(D_x U)(D_x^2 U)(D_x^3 U) + 268417.500000(D_x U)(D_x U)(D_x U)(D_x U)(D_x^3 U)(D_x^3 U) + -95027.343750(D_x U)(D_x U)(D_x U)(D_x^2 U)(D_x^2 U)(D_x^3 U) + 56763.902344(D_x U)(D_x U)(D_x U)(D_x^3 U)(D_x^3 U)(D_x^3 U)
207,3,0.013552657,191.55683517456055,D_t U = 0.001280  + 0.019673(U) + -0.132842(D_x^2 U) + 0.096022(D_x^3 U)
208,2,0.08237992,227.64103412628174,D_t U = 0.001484 
209,1,0.00054266915,2397.4069595336914,D_t U = 0.001277  + 0.019354(U) + -0.073863(D_x U) + -0.140064(D_x^2 U) + 0.079393(D_x^3 U)
