epoch,optimizer,experiment,collocation,data,total
0,Adam,test,0.00038149327,0.3543567,0.3547382
0,Adam,train,0.00037987373,0.3550507,0.35543057
10,Adam,test,0.0016734203,0.047687743,0.049361162
10,Adam,train,0.0016815425,0.047821846,0.04950339
20,Adam,test,0.014795476,0.029002419,0.043797895
20,Adam,train,0.01478489,0.02901302,0.04379791
30,Adam,test,0.0012572135,0.0083955405,0.009652754
30,Adam,train,0.0012613763,0.008452784,0.00971416
40,Adam,test,0.0010414906,0.0017143829,0.0027558734
40,Adam,train,0.0010377531,0.0017394316,0.0027771848
50,Adam,test,0.00082798395,0.0005357948,0.0013637787
50,Adam,train,0.0008292424,0.000568953,0.0013981954
60,Adam,test,0.00026644144,0.00039934283,0.00066578423
60,Adam,train,0.0002666374,0.00042994312,0.0006965805
70,Adam,test,7.4790085e-05,0.00039385795,0.00046864804
70,Adam,train,7.500046e-05,0.00042367808,0.00049867854
80,Adam,test,3.0395304e-05,0.00038666182,0.00041705713
80,Adam,train,3.0453175e-05,0.00041740952,0.0004478627
90,Adam,test,2.1172365e-05,0.00037843862,0.000399611
90,Adam,train,2.110288e-05,0.00040828707,0.00042938994
100,Adam,test,1.674989e-05,0.00037295613,0.00038970602
100,Adam,train,1.6721087e-05,0.00040293913,0.0004196602
110,Adam,test,1.3844292e-05,0.0003687831,0.0003826274
110,Adam,train,1.3602687e-05,0.0003985506,0.00041215328
120,Adam,test,1.19832e-05,0.00036520918,0.0003771924
120,Adam,train,1.2122746e-05,0.00039438318,0.00040650592
130,Adam,test,1.1388157e-05,0.00036118698,0.00037257513
130,Adam,train,1.1478491e-05,0.00039025646,0.00040173496
140,Adam,test,1.1377873e-05,0.0003578671,0.00036924498
140,Adam,train,1.112511e-05,0.0003861758,0.0003973009
150,Adam,test,1.0985597e-05,0.00035429103,0.00036527662
150,Adam,train,1.0783922e-05,0.0003822686,0.00039305253
160,Adam,test,1.0517673e-05,0.00035143888,0.00036195654
160,Adam,train,1.0641077e-05,0.00037876022,0.0003894013
170,Adam,test,1.0379125e-05,0.00034890807,0.0003592872
170,Adam,train,1.04667315e-05,0.00037568802,0.00038615474
180,Adam,test,1.0218476e-05,0.00034685378,0.00035707225
180,Adam,train,1.0183601e-05,0.0003730699,0.0003832535
190,Adam,test,9.8638575e-06,0.0003452309,0.00035509476
190,Adam,train,1.0186937e-05,0.00037086383,0.00038105075
200,Adam,test,9.985471e-06,0.00034388504,0.0003538705
200,Adam,train,9.932275e-06,0.0003689868,0.00037891907
210,Adam,test,9.7674265e-06,0.0003427791,0.0003525465
210,Adam,train,9.720524e-06,0.00036734622,0.00037706675
220,Adam,test,9.462852e-06,0.00034180778,0.00035127063
220,Adam,train,9.536986e-06,0.0003658586,0.00037539558
230,Adam,test,9.285362e-06,0.0003409109,0.00035019626
230,Adam,train,9.205016e-06,0.00036446415,0.00037366917
240,Adam,test,9.093606e-06,0.00034006036,0.00034915397
240,Adam,train,9.414301e-06,0.00036312657,0.00037254088
250,Adam,test,9.271886e-06,0.00033923576,0.00034850766
250,Adam,train,9.237608e-06,0.00036182554,0.00037106316
260,Adam,test,8.801138e-06,0.000338429,0.00034723015
260,Adam,train,8.832398e-06,0.0003605514,0.0003693838
270,Adam,test,8.951016e-06,0.00033763392,0.00034658494
270,Adam,train,8.803792e-06,0.0003593003,0.00036810408
280,Adam,test,8.75309e-06,0.0003368464,0.0003455995
280,Adam,train,8.7411345e-06,0.00035806934,0.00036681048
290,Adam,test,8.640911e-06,0.0003360646,0.0003447055
290,Adam,train,8.645218e-06,0.00035685615,0.00036550136
300,Adam,test,8.458345e-06,0.00033528183,0.0003437402
300,Adam,train,8.567711e-06,0.00035565844,0.00036422614
310,Adam,test,8.427217e-06,0.000334498,0.00034292522
310,Adam,train,8.384437e-06,0.00035447368,0.00036285812
320,Adam,test,8.171005e-06,0.0003337059,0.0003418769
320,Adam,train,8.303073e-06,0.00035329908,0.00036160214
330,Adam,test,8.35085e-06,0.0003329093,0.00034126014
330,Adam,train,8.126054e-06,0.000352133,0.00036025906
340,Adam,test,8.285792e-06,0.00033209816,0.00034038397
340,Adam,train,8.380643e-06,0.000350973,0.00035935364
