nb,rank,residual_ranked,residual_change,extracted_pde
65,5,8.104438e-05,80.96730709075928,D_t U = 0.001276  + 0.019107(U) + -0.074785(D_x U) + -0.140757(D_x^2 U) + 0.078514(D_x^3 U) + 0.011630(U)(U) + 0.059365(U)(D_x U) + 0.047217(U)(D_x^2 U) + 0.057676(U)(D_x^3 U) + 0.045689(D_x^2 U)(D_x^2 U) + 0.022125(D_x^3 U)(D_x^3 U)
66,4,2.1581249e-05,190.40921926498413,D_t U = 0.001276  + 0.019110(U) + -0.074932(D_x U) + -0.140629(D_x^2 U) + 0.078495(D_x^3 U) + 0.011586(U)(U) + 0.067637(U)(D_x U) + 0.042653(U)(D_x^2 U) + 0.059473(U)(D_x^3 U) + 0.042967(D_x U)(D_x U) + 0.028489(D_x U)(D_x^3 U) + 0.037756(D_x^2 U)(D_x^2 U) + 0.019764(D_x^2 U)(D_x^3 U) + 0.025336(D_x^3 U)(D_x^3 U)
67,3,0.013644003,191.117525100708,D_t U = 0.001282  + 0.019707(U) + -0.132907(D_x^2 U) + 0.095734(D_x^3 U)
68,2,0.08195444,229.31456565856934,D_t U = 0.001485 
69,1,0.0005370374,2440.605926513672,D_t U = 0.001277  + 0.019356(U) + -0.073819(D_x U) + -0.140068(D_x^2 U) + 0.079421(D_x^3 U)
