nb,rank,residual_ranked,residual_change,extracted_pde
10,5,7.649287e-05,85.86247563362122,D_t U = 0.001276  + 0.019108(U) + -0.074810(D_x U) + -0.140717(D_x^2 U) + 0.078522(D_x^3 U) + 0.011596(U)(U) + 0.060295(U)(D_x U) + 0.045477(U)(D_x^2 U) + 0.057273(U)(D_x^3 U) + 0.042730(D_x^2 U)(D_x^2 U) + 0.021689(D_x^3 U)(D_x^3 U)
11,4,2.1488184e-05,184.01626348495483,D_t U = 0.001276  + 0.019110(U) + -0.074932(D_x U) + -0.140628(D_x^2 U) + 0.078496(D_x^3 U) + 0.011583(U)(U) + 0.067681(U)(D_x U) + 0.042593(U)(D_x^2 U) + 0.059449(U)(D_x^3 U) + 0.043055(D_x U)(D_x U) + 0.029293(D_x U)(D_x^3 U) + 0.037783(D_x^2 U)(D_x^2 U) + 0.019714(D_x^2 U)(D_x^3 U) + 0.025412(D_x^3 U)(D_x^3 U)
12,3,0.013678311,190.6090259552002,D_t U = 0.001281  + 0.019686(U) + -0.132419(D_x^2 U) + 0.096178(D_x^3 U)
13,2,0.083113804,225.685715675354,D_t U = 0.001487 
14,1,0.0005223301,2518.709945678711,D_t U = 0.001277  + 0.019360(U) + -0.073930(D_x U) + -0.139994(D_x^2 U) + 0.079462(D_x^3 U)
