nb,rank,residual_ranked,residual_change,extracted_pde
65,5,8.964438e-05,92.43398904800415,D_t U = 0.001276  + 0.019105(U) + -0.074708(D_x U) + -0.140753(D_x^2 U) + 0.078510(D_x^3 U) + 0.011700(U)(U) + 0.055865(U)(D_x U) + 0.048431(U)(D_x^2 U) + 0.057605(U)(D_x^3 U) + 0.040437(D_x^2 U)(D_x^2 U) + 0.022749(D_x^3 U)(D_x^3 U)
66,4,0.014319128,189.08005952835083,D_t U = 0.001279  + 0.019813(U) + -0.127782(D_x^2 U) + 0.096309(D_x^3 U)
67,3,2.173934e-05,197.96985387802124,D_t U = 0.001276  + 0.019109(U) + -0.074933(D_x U) + -0.140632(D_x^2 U) + 0.078494(D_x^3 U) + 0.011582(U)(U) + 0.067740(U)(D_x U) + 0.042663(U)(D_x^2 U) + 0.059489(U)(D_x^3 U) + 0.042377(D_x U)(D_x U) + 0.027767(D_x U)(D_x^3 U) + 0.038028(D_x^2 U)(D_x^2 U) + 0.019772(D_x^2 U)(D_x^3 U) + 0.025265(D_x^3 U)(D_x^3 U)
68,2,0.083957106,222.865629196167,D_t U = 0.001488 
69,1,0.0005949666,2306.7113876342773,D_t U = 0.001277  + 0.019358(U) + -0.073631(D_x U) + -0.140235(D_x^2 U) + 0.079486(D_x^3 U)
