nb,rank,residual_ranked,residual_change,extracted_pde
121,5,0.000112372065,108.05960893630981,D_t U = -2.448426  + 0.249859(U) + 0.042340(D_x U) + 0.066559(D_x^2 U) + 0.029919(D_x^3 U) + 0.025520(U)(U) + -0.050870(U)(D_x U) + -0.007259(U)(D_x^2 U) + -0.014894(U)(D_x^3 U) + 0.040768(D_x U)(D_x^3 U) + -0.012956(U)(U)(U) + 0.378499(U)(D_x^2 U)(D_x^3 U) + 0.653228(U)(U)(D_x U)(D_x U) + 2.369555(U)(U)(U)(D_x U)(D_x U)
122,4,0.007477622,247.59204387664795,D_t U = -2.448428  + 0.250107(U) + 0.043276(D_x U) + 0.056367(D_x^2 U) + 0.031934(U)(U)
123,3,0.0006815074,445.2367305755615,D_t U = -2.448426  + 0.250034(U) + 0.042475(D_x U) + 0.066958(D_x^2 U) + 0.029371(D_x^3 U) + 0.029387(U)(U) + -0.046590(U)(D_x U)
124,2,0.058161993,3419.1932678222656,D_t U = -2.448545  + 0.240619(U)
125,1,2.0468328,16882.49053955078,D_t U = -2.457883 
