nb,rank,residual_ranked,residual_change,extracted_pde
10,5,0.00066660886,150.20310878753662,D_t U = -0.363213  + 0.013823(U) + 0.171971(D_x U) + -0.123637(D_x^2 U) + 0.246623(D_x^3 U) + 0.013229(U)(U) + 0.081776(U)(D_x^2 U)
11,4,8.124651e-05,154.94163036346436,D_t U = -0.380240  + 0.036257(U) + 0.226093(D_x U) + -0.058230(D_x^2 U) + 0.266720(D_x^3 U) + 0.005840(U)(U) + -0.035663(U)(D_x U) + 0.037932(U)(D_x^2 U) + -0.013165(U)(D_x^3 U) + -0.055050(D_x U)(D_x^2 U) + -0.046798(D_x U)(D_x^3 U) + -0.045050(D_x^2 U)(D_x^2 U) + -0.057498(D_x^2 U)(D_x^3 U)
12,3,0.16146569,508.03370475769043,D_t U =  + -0.455051(U) + 0.164500(U)(U)
13,2,0.0021466876,3958.153533935547,D_t U = -0.390140  + 0.049248(U) + 0.170384(D_x U) + 0.244794(D_x^3 U) + 0.001579(U)(U)
14,1,0.98176587,4383.430862426758,D_t U =  + -0.203920(U)
