nb,rank,residual_ranked,residual_change,extracted_pde
30,5,0.00012787568,241.6173219680786,D_t U = 1.675397  + 0.160760(U) + -0.127695(D_x U) + 0.029587(D_x^2 U) + -0.017073(D_x^3 U) + -0.000677(U)(U) + 0.048259(D_x U)(D_x^2 U) + 0.004509(U)(U)(U)
31,4,0.13283898,307.84146785736084,D_t U = 1.676773  + 0.173113(U)
32,3,0.012299205,980.0615310668945,D_t U = 1.675351  + 0.160630(U) + -0.145993(D_x U)
33,2,0.00044442652,1004.8984527587891,D_t U = 1.675370  + 0.160257(U) + -0.128638(D_x U) + 0.029885(D_x^2 U) + -0.017237(D_x^3 U) + -0.003483(U)(U)
34,1,0.5417724,43090.11535644531,D_t U = 1.654570 
