nb,rank,residual_ranked,residual_change,extracted_pde
15,5,22.449963,10.867546498775482,D_t U =  + -7.126057(D_x U) + 1807.657593(D_x U)(D_x^2 U) + 7197.814453(D_x^2 U)(D_x^2 U) + -24117.330078(D_x U)(D_x U)(D_x U) + -302193.593750(D_x U)(D_x U)(D_x^2 U) + -1300679.125000(D_x U)(D_x^2 U)(D_x^2 U) + -1934637.500000(D_x^2 U)(D_x^2 U)(D_x^2 U)
16,4,12.343036,18.6906561255455,D_t U = -0.078232  + -22.865166(D_x U) + -96.169128(D_x^2 U) + 0.422261(U)(U) + 672.726746(D_x U)(D_x^2 U) + 2955.528320(D_x^2 U)(D_x^2 U) + -1814.406128(D_x U)(D_x U)(D_x U) + -60858.636719(D_x U)(D_x U)(D_x^2 U) + -410337.343750(D_x U)(D_x^2 U)(D_x^2 U) + -772390.125000(D_x^2 U)(D_x^2 U)(D_x^2 U)
17,3,10.094708,21.448437869548798,D_t U = -0.071480  + -22.204815(D_x U) + -91.146629(D_x^2 U) + 0.499348(U)(U) + -68.099274(D_x U)(D_x U) + 648.578125(D_x U)(D_x^2 U) + 3886.033203(D_x^2 U)(D_x^2 U) + 0.317162(U)(U)(U) + -5085.762207(D_x U)(D_x U)(D_x U) + -52015.343750(D_x U)(D_x U)(D_x^2 U) + -172680.718750(D_x U)(D_x^2 U)(D_x^2 U) + -176996.937500(D_x^2 U)(D_x^2 U)(D_x^2 U)
18,2,16.139912,39.09594416618347,D_t U =  + -19.821327(D_x U) + -79.638901(D_x^2 U) + 990.716797(D_x U)(D_x^2 U) + 4059.790527(D_x^2 U)(D_x^2 U) + -4803.896973(D_x U)(D_x U)(D_x U) + -61762.308594(D_x U)(D_x U)(D_x^2 U) + -269887.875000(D_x U)(D_x^2 U)(D_x^2 U) + -395002.156250(D_x^2 U)(D_x^2 U)(D_x^2 U)
19,1,25.324236,62.417054176330566,D_t U =  + -35914.812500(D_x U)(D_x U)(D_x U) + -303997.562500(D_x U)(D_x U)(D_x^2 U) + -637301.125000(D_x U)(D_x^2 U)(D_x^2 U)
