epoch,optimizer,experiment,collocation,data,total
0,Adam,test,0.01790209,0.318869,0.33677107
0,Adam,train,0.01789858,0.30705276,0.32495135
10,Adam,test,0.010147369,0.17042202,0.18056938
10,Adam,train,0.010150532,0.15689752,0.16704805
20,Adam,test,0.002919132,0.16195884,0.16487798
20,Adam,train,0.002924805,0.14989795,0.15282275
30,Adam,test,0.0009200651,0.15505725,0.15597732
30,Adam,train,0.000917086,0.14536297,0.14628007
40,Adam,test,0.000862343,0.14987499,0.15073733
40,Adam,train,0.00086941477,0.14092438,0.14179379
50,Adam,test,0.0016004598,0.14200364,0.1436041
50,Adam,train,0.0016134956,0.13485208,0.13646558
60,Adam,test,0.0021364416,0.13424139,0.13637783
60,Adam,train,0.0021609417,0.12701894,0.12917988
70,Adam,test,0.0035816124,0.12608266,0.12966427
70,Adam,train,0.0036749388,0.11989052,0.12356546
80,Adam,test,0.0050097737,0.11955743,0.1245672
80,Adam,train,0.0050951224,0.11398382,0.11907894
90,Adam,test,0.0057511316,0.11386957,0.1196207
90,Adam,train,0.0056830077,0.10816468,0.11384769
100,Adam,test,0.007731874,0.10519408,0.112925954
100,Adam,train,0.0074698776,0.098915964,0.10638584
110,Adam,test,0.010503081,0.09689693,0.107400015
110,Adam,train,0.010505799,0.0905873,0.1010931
120,Adam,test,0.013038827,0.09028189,0.10332072
120,Adam,train,0.013154626,0.08438858,0.0975432
130,Adam,test,0.013205267,0.08625524,0.099460505
130,Adam,train,0.013111401,0.081041045,0.09415245
140,Adam,test,0.014277437,0.08142506,0.0957025
140,Adam,train,0.01409959,0.0766704,0.09076999
150,Adam,test,0.015557304,0.078931,0.0944883
150,Adam,train,0.01539375,0.07348381,0.08887756
160,Adam,test,0.015800267,0.072471745,0.08827201
160,Adam,train,0.01583905,0.06955563,0.08539468
170,Adam,test,0.01700704,0.06797083,0.084977865
170,Adam,train,0.017139195,0.064382695,0.08152189
180,Adam,test,0.017988466,0.062808156,0.08079662
180,Adam,train,0.018121136,0.06012465,0.07824579
190,Adam,test,0.019462451,0.05773485,0.0771973
190,Adam,train,0.019092511,0.05557041,0.074662924
200,Adam,test,0.020896874,0.05538344,0.07628031
200,Adam,train,0.02060708,0.0523592,0.07296628
210,Adam,test,0.021211918,0.04997383,0.07118575
210,Adam,train,0.02118519,0.04820673,0.06939192
220,Adam,test,0.022036325,0.047042936,0.069079265
220,Adam,train,0.022035288,0.04470986,0.06674515
230,Adam,test,0.023099426,0.043235775,0.0663352
230,Adam,train,0.022729808,0.04135284,0.064082645
240,Adam,test,0.023967495,0.040749654,0.06471715
240,Adam,train,0.024271298,0.038541734,0.06281303
250,Adam,test,0.024422951,0.037800647,0.0622236
250,Adam,train,0.025009882,0.036443066,0.061452948
260,Adam,test,0.024428166,0.036389686,0.060817853
260,Adam,train,0.024851196,0.03439135,0.059242547
270,Adam,test,0.025405454,0.03500419,0.060409643
270,Adam,train,0.024857007,0.033646237,0.058503244
280,Adam,test,0.026096521,0.03317056,0.05926708
280,Adam,train,0.025733981,0.031306453,0.057040434
290,Adam,test,0.026334405,0.03211211,0.058446515
290,Adam,train,0.025729937,0.030216748,0.055946685
300,Adam,test,0.026073998,0.030965414,0.05703941
300,Adam,train,0.025951074,0.029158674,0.055109747
310,Adam,test,0.025188686,0.03030499,0.055493675
310,Adam,train,0.025836453,0.028577015,0.054413468
320,Adam,test,0.02572387,0.029684365,0.055408236
320,Adam,train,0.025134252,0.027980814,0.053115066
330,Adam,test,0.025110967,0.029128965,0.054239932
330,Adam,train,0.025068862,0.027423559,0.05249242
340,Adam,test,0.024963018,0.028355803,0.05331882
340,Adam,train,0.024857927,0.026790753,0.05164868
350,Adam,test,0.024205707,0.028337669,0.052543376
350,Adam,train,0.024178954,0.026531942,0.050710894
360,Adam,test,0.023514858,0.027863594,0.05137845
360,Adam,train,0.023609469,0.026359355,0.049968824
