nb,rank,residual_ranked,residual_change,extracted_pde
-1,5,0.0043307524,2889.6995544433594,D_t U =  + -0.041213(U) + -4.226235(D_x U) + -1.210656(D_x^2 U)
0,4,0.12947649,72.63337969779968,D_t U =  + -4.430176(D_x U) + -1.209474(D_x^2 U)
1,3,0.22351964,189.29606676101685,D_t U =  + -4.053669(D_x U)
2,2,0.0010954017,295.35746574401855,D_t U = -0.000028  + -0.040403(U) + -4.231073(D_x U) + -1.212756(D_x^2 U)
3,1,0.0043307524,2889.6995544433594,D_t U =  + -0.041213(U) + -4.226235(D_x U) + -1.210656(D_x^2 U)
