nb,rank,residual_ranked,residual_change,extracted_pde
15,5,0.23152827,181.34814500808716,D_t U =  + -4.024750(D_x U)
16,4,0.0002852773,281.9579601287842,D_t U = -0.000031  + -0.040849(U) + -4.232727(D_x U) + -1.213675(D_x^2 U) + 0.020126(U)(U)
17,3,0.0010896393,296.67186737060547,D_t U = -0.000028  + -0.040401(U) + -4.231175(D_x U) + -1.212806(D_x^2 U)
18,2,6.362227e-05,348.3922004699707,D_t U = -0.000031  + -0.040861(U) + -4.231247(D_x U) + -1.213633(D_x^2 U) + 0.022503(U)(U) + -0.175493(U)(D_x U)
19,1,0.0043222923,2901.0698318481445,D_t U =  + -0.041217(U) + -4.226415(D_x U) + -1.210642(D_x^2 U)
