nb,rank,residual_ranked,residual_change,extracted_pde
5,5,0.2316816,183.40743780136108,D_t U =  + -3.976750(D_x U)
6,4,0.001117952,287.78722286224365,D_t U = -0.000028  + -0.040392(U) + -4.231134(D_x U) + -1.212648(D_x^2 U)
7,3,0.00028624464,290.55824279785156,D_t U = -0.000031  + -0.040850(U) + -4.232727(D_x U) + -1.213599(D_x^2 U) + 0.020182(U)(U)
8,2,7.209649e-05,297.0299243927002,D_t U = -0.000031  + -0.040860(U) + -4.231285(D_x U) + -1.213538(D_x^2 U) + 0.022511(U)(U) + -0.174371(U)(D_x U)
9,1,0.0043352754,2922.9759216308594,D_t U =  + -0.041191(U) + -4.226500(D_x U) + -1.210321(D_x^2 U)
