nb,rank,residual_ranked,residual_change,extracted_pde
30,5,0.23201257,179.26597595214844,D_t U =  + -3.998736(D_x U)
31,4,0.0002837501,288.2512092590332,D_t U = -0.000031  + -0.040849(U) + -4.232707(D_x U) + -1.213658(D_x^2 U) + 0.020139(U)(U)
32,3,0.0011016632,292.6482915878296,D_t U = -0.000028  + -0.040397(U) + -4.231150(D_x U) + -1.212752(D_x^2 U)
33,2,6.723253e-05,322.0428466796875,D_t U = -0.000031  + -0.040861(U) + -4.231261(D_x U) + -1.213619(D_x^2 U) + 0.022505(U)(U) + -0.174851(U)(D_x U)
34,1,0.004325662,2906.56681060791,D_t U =  + -0.041214(U) + -4.226457(D_x U) + -1.210487(D_x^2 U)
